2025-04-18 19:27:04,785 INFO    MainThread:14624 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_setup.py:_flush():67] Configure stats pid to 14624
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\.config\wandb\settings
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_setup.py:_flush():67] Loading settings from C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\settings
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\run-20250418_192704-htgqc78y\logs\debug.log
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\DELL\Documents\SEMESTER 8\Deep Learning\Assignment_2\wandb\run-20250418_192704-htgqc78y\logs\debug-internal.log
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:init():781] calling init triggers
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'data_dir': 'inaturalist_12K', 'num_filters': 64, 'filter_size': 3, 'filter_organization': 'double', 'activation': 'relu', 'dense_neurons': 256, 'dropout_rate': 0.3, 'batch_norm': True, 'data_augmentation': True, 'learning_rate': 0.001, 'batch_size': 64, 'epochs': 20, '_wandb': {}}
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:init():809] starting backend
2025-04-18 19:27:04,786 INFO    MainThread:14624 [wandb_init.py:init():813] sending inform_init request
2025-04-18 19:27:04,819 INFO    MainThread:14624 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-18 19:27:04,819 INFO    MainThread:14624 [wandb_init.py:init():823] backend started and connected
2025-04-18 19:27:04,821 INFO    MainThread:14624 [wandb_init.py:init():915] updated telemetry
2025-04-18 19:27:04,823 INFO    MainThread:14624 [wandb_init.py:init():939] communicating run to backend with 300.0 second timeout
2025-04-18 19:27:05,575 INFO    MainThread:14624 [wandb_init.py:init():1014] starting run threads in backend
2025-04-18 19:27:05,685 INFO    MainThread:14624 [wandb_run.py:_console_start():2454] atexit reg
2025-04-18 19:27:05,685 INFO    MainThread:14624 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-18 19:27:05,685 INFO    MainThread:14624 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-18 19:27:05,685 INFO    MainThread:14624 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-18 19:27:05,689 INFO    MainThread:14624 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-18 19:29:34,143 INFO    MainThread:14624 [wandb_watch.py:_watch():71] Watching
2025-04-18 19:46:53,770 INFO    MsgRouterThr:14624 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
